slug,registry,enriched_at,ai_demand_score
afforai,ai_tool,2026-03-25T15:23:29.647770,
ada-ai-cx,ai_tool,2026-03-25T15:23:29.647770,
adobe-css-tools,ai_tool,2026-03-25T15:23:29.647770,11.42
adrianeddy-telemetry-parser,ai_tool,2026-03-25T15:23:29.647770,7.16
adzooma,ai_tool,2026-03-25T15:23:29.647770,
1186258278-openclawchinesetranslation,ai_tool,2026-03-25T15:23:29.647770,22.85
agenticscreeningmetricsdemo,ai_tool,2026-03-25T15:23:29.647770,20.23
aether-oracle,ai_tool,2026-03-25T15:23:29.647770,7.16
a-ghorbanipocketpal-ai,ai_tool,2026-03-25T15:23:29.647770,11.42
autogen-ms,ai_tool,2026-03-25T15:23:30.320457,
awslabs-iam-policy-autopilot,ai_tool,2026-03-25T15:23:30.320457,7.21
article-forge,ai_tool,2026-03-25T15:23:30.320457,11.42
awslabs-amazon-bedrock-agentcore-samples,ai_tool,2026-03-25T15:23:30.320457,11.42
android-automation,ai_tool,2026-03-25T15:23:30.320457,16.73
ayoa-ai,ai_tool,2026-03-25T15:23:30.320457,7.21
baidu-ai,ai_tool,2026-03-25T15:23:30.320457,
ao-lens,ai_tool,2026-03-25T15:23:30.320457,11.42
aio-libs-aiobotocore,ai_tool,2026-03-25T15:23:30.320457,7.21
angular-eslint-angular-eslint,ai_tool,2026-03-25T15:23:30.320457,7.21
applitools-css-tree,ai_tool,2026-03-25T15:23:30.320457,11.42
aitytech-agentkits-marketing,ai_tool,2026-03-25T15:23:30.320457,7.21
ainoai-v1,ai_tool,2026-03-25T15:23:30.320457,7.21
albert-ai-mktg,ai_tool,2026-03-25T15:23:30.320457,7.21
amper-music,ai_tool,2026-03-25T15:23:30.320457,
albert-ai,ai_tool,2026-03-25T15:23:30.320457,
arise-initiative-robosuite,ai_tool,2026-03-25T15:23:30.320457,7.21
artbreeder,ai_tool,2026-03-25T15:23:30.320457,
airbyte-ai,ai_tool,2026-03-25T15:23:30.320457,
alphaavatar-alphaavatar,ai_tool,2026-03-25T15:23:30.320457,7.21
aichan-model,ai_tool,2026-03-25T15:23:30.320457,7.05
ai-shifu-ai-shifu,ai_tool,2026-03-25T15:23:30.320457,11.42
aisera-ai,ai_tool,2026-03-25T15:23:30.320457,
azure-samples-azure-language-openai-conversational-agent-accelerator,ai_tool,2026-03-25T15:23:30.320457,7.4
apollo-ai,ai_tool,2026-03-25T15:23:30.320457,
arc-search,ai_tool,2026-03-25T15:23:30.320457,
aitaxagentw2,ai_tool,2026-03-25T15:23:30.320457,7.21
aigc-audioaudiogpt,ai_tool,2026-03-25T15:23:30.320457,7.2
anima-ai,ai_tool,2026-03-25T15:23:30.320457,
alexandre01-deepsvg,ai_tool,2026-03-25T15:23:30.320457,11.42
akkio,ai_tool,2026-03-25T15:23:30.320457,
andi-search,ai_tool,2026-03-25T15:23:30.320457,
aider-cli,ai_tool,2026-03-25T15:23:30.320457,
andi-search-ai,ai_tool,2026-03-25T15:23:30.320457,7.07
amazon-bedrock-agentcore,ai_tool,2026-03-25T15:23:30.320457,16.73
app-paichart-mcp-hub,ai_tool,2026-03-25T15:23:30.320457,7.21
awjuliani-deeprl-agents,ai_tool,2026-03-25T15:23:30.320457,7.21
azuremcp-kubernetes,ai_tool,2026-03-25T15:23:30.320457,7.2
akiflow-ai,ai_tool,2026-03-25T15:23:30.320457,7.18
clay-ai,ai_tool,2026-03-25T15:23:31.005039,
claude-peers,ai_tool,2026-03-25T15:23:31.005039,7.07
boost-ai,ai_tool,2026-03-25T15:23:31.005039,7.2
captain-dackie,ai_tool,2026-03-25T15:23:31.005039,11.33
bandlab-ai,ai_tool,2026-03-25T15:23:31.005039,
bark-tts,ai_tool,2026-03-25T15:23:31.005039,
clawdbot-cn,ai_tool,2026-03-25T15:23:31.005039,7.21
bragai-brag-langchain,ai_tool,2026-03-25T15:23:31.005039,7.25
claude-task-master,ai_tool,2026-03-25T15:23:31.005039,16.73
cherryhqcherry-studio,ai_tool,2026-03-25T15:23:31.005039,11.42
botpress,ai_tool,2026-03-25T15:23:31.005039,
chattts-forge,ai_tool,2026-03-25T15:23:31.005039,7.21
canva-ai-image,ai_tool,2026-03-25T15:23:31.005039,11.42
billmei-every-chatgpt-gui,ai_tool,2026-03-25T15:23:31.005039,7.13
clickhouse-server,ai_tool,2026-03-25T15:23:31.005039,7.35
clearbit-ai,ai_tool,2026-03-25T15:23:31.005039,11.42
cleanvoice,ai_tool,2026-03-25T15:23:31.005039,
census-ai,ai_tool,2026-03-25T15:23:31.005039,
cisco-ai-defense-mcp-scanner,ai_tool,2026-03-25T15:23:31.005039,7.07
bud-agent,ai_tool,2026-03-25T15:23:31.005039,7.21
barca0412-introduction-to-quantitative-finance,ai_tool,2026-03-25T15:23:31.005039,11.42
binary-huskygpt-academic,ai_tool,2026-03-25T15:23:31.005039,16.73
chatcsv-ai,ai_tool,2026-03-25T15:23:31.005039,7.21
banana-slides,ai_tool,2026-03-25T15:23:31.005039,18.63
binary-huskygpt_academic,ai_tool,2026-03-25T15:23:31.005039,
claude-oracle-mcp,ai_tool,2026-03-25T15:23:31.005039,7.06
blue-willow,ai_tool,2026-03-25T15:23:31.005039,
capacity-ai,ai_tool,2026-03-25T15:23:31.005039,11.42
clipdrop-ai,ai_tool,2026-03-25T15:23:31.005039,
blue-willow-ai,ai_tool,2026-03-25T15:23:31.005039,7.07
brave-ai-search,ai_tool,2026-03-25T15:23:31.005039,14.41
bee-sanciphey,ai_tool,2026-03-25T15:23:31.005039,14.41
bolna-ai-bolna,ai_tool,2026-03-25T15:23:31.005039,7.21
bing-image-creator,ai_tool,2026-03-25T15:23:31.005039,14.41
btriapitsyn-openchamber,ai_tool,2026-03-25T15:23:31.005039,7.18
baldurs-gate-3-books,ai_tool,2026-03-25T15:23:31.005039,7.21
