day,ai_mediated_count
2026-03-20,429
2026-03-21,1201
2026-03-22,1460
2026-03-23,1655
2026-03-24,1514
2026-03-25,1424
2026-03-26,1342
2026-03-27,1346
2026-03-28,1184
2026-03-29,1338
2026-03-30,1485
2026-03-31,1402
2026-04-01,1371
2026-04-02,1299
2026-04-03,1191
2026-04-04,1030
2026-04-05,1055
2026-04-06,1195
2026-04-07,1267
2026-04-08,1279
2026-04-09,1172
2026-04-10,1319
2026-04-11,1167
2026-04-12,1031
2026-04-13,1128
2026-04-14,1246
2026-04-15,1196
2026-04-16,1045
2026-04-17,1095
2026-04-18,540
